Date,Open,High,Low,Close,Volume
23-04-2020 00:00,7138.29,7158.7,7108,7122.21,81.59
23-04-2020 01:00,7126.3,7192.82,7118.33,7186.36,175.45
23-04-2020 02:00,7186.72,7193.13,7129.19,7130,131.63
23-04-2020 03:00,7130.92,7163.41,7117.97,7118.83,227.12
23-04-2020 04:00,7115.9,7137.92,7102.62,7132.38,60.48
23-04-2020 05:00,7135.17,7142.48,7098.86,7104.3,90.99
23-04-2020 06:00,7103.31,7103.31,7031.07,7046.02,452.96
23-04-2020 07:00,7038.45,7081.85,7038.45,7065.96,87.46
23-04-2020 08:00,7065.05,7108.19,7055,7091.22,161.56
23-04-2020 09:00,7087.35,7111.38,7056.42,7111.38,203.53
23-04-2020 10:00,7106.26,7113.61,7068.72,7074.57,124.44
23-04-2020 11:00,7075.06,7155.63,7068.48,7136.87,251.9
23-04-2020 12:00,7137.8,7199,7118.61,7186.21,1500.24
23-04-2020 13:00,7186.84,7274.37,7159.81,7251.1,1605.26
23-04-2020 14:00,7257.68,7756.69,7257.68,7546,3734.63
23-04-2020 15:00,7549.56,7566.55,7473,7538.64,1554.19
23-04-2020 16:00,7538.64,7618.13,7489.89,7508.25,768.85
23-04-2020 17:00,7511.62,7564.72,7511.62,7562.09,965.39
23-04-2020 18:00,7563.4,7578.25,7517.45,7545.99,235.44
23-04-2020 19:00,7545.01,7550.73,7515.5,7529.15,377.48
23-04-2020 20:00,7528.52,7570.77,7528.52,7540,124.17
23-04-2020 21:00,7540,7619.35,7537.95,7600.71,874.26
23-04-2020 22:00,7607.83,7611.96,7550.01,7573.15,176.03
23-04-2020 23:00,7573.59,7574.48,7447.7,7484.58,814.5
24-04-2020 00:00,7494.2,7528.52,7475.89,7494.73,91.67
24-04-2020 01:00,7496.05,7526.35,7466.07,7489.4,88.52
24-04-2020 02:00,7492.06,7536.84,7480.91,7527.4,69.95
24-04-2020 03:00,7524.14,7564.72,7507.45,7530,128.69
24-04-2020 04:00,7530,7549.35,7501.8,7546.83,79.9
24-04-2020 05:00,7550.88,7552.31,7497.06,7497.06,126.43
24-04-2020 06:00,7495,7543.52,7492.49,7540.9,160.44
